year,region,species_code,species,id,mu_hl,tot_hl
2017,ebs,21740,walleye pollock,s50,92.64102564,28904
2017,ebs,10130,flathead sole,s50,60.38095238,8876
2017,ebs,10112,Kamchatka flounder,s50,16.25,65
2017,ebs,21720,Pacific cod,s50,39.55555556,2492
2017,ebs,10110,arrowtooth flounder,s50,48.40860215,4502
2017,ebs,10210,yellowfin sole,s50,69.13888889,14934
2017,ebs,10285,Alaska plaice,s50,40.63636364,2235
2017,ebs,10261,northern rock sole,s50,60.31284916,10796
2018,ebs,10110,arrowtooth flounder,s50,50.48684211,7674
2018,ebs,10130,flathead sole,s50,64.67759563,11836
2018,ebs,10285,Alaska plaice,s50,36.19166667,4343
2018,ebs,10112,Kamchatka flounder,s50,25.5,51
2019,ebs,10110,arrowtooth flounder,s50,56.85436893,5856
2019,ebs,10112,Kamchatka flounder,s50,40,160
2019,ebs,10210,yellowfin sole,s75,53.10344828,9240
2019,ebs,10261,northern rock sole,s75,52.47286822,6769
2019,ebs,10285,Alaska plaice,s75,35.67741935,1106
2019,ebs,21720,Pacific cod,s75,35.92857143,1509
2019,ebs,21740,walleye pollock,s75,74.15510204,18168
2019,ebs,10130,flathead sole,s75,42.4122807,4835
2018,ebs,10261,northern rock sole,s75,58.93382353,8015
2018,ebs,10210,yellowfin sole,s75,56.88679245,12060
2018,ebs,21740,walleye pollock,s75,78.53898305,23169
2018,ebs,21720,Pacific cod,s75,49.58064516,1537
2017,ebs,21740,walleye pollock,s75,76.10992908,21463
2017,ebs,10130,flathead sole,s75,49.70175439,5666
2017,ebs,21720,Pacific cod,s75,45.38709677,1407
2017,ebs,10110,arrowtooth flounder,s75,43.81355932,2585
2017,ebs,10285,Alaska plaice,s75,38.58064516,1196
2017,ebs,10210,yellowfin sole,s75,54.87845304,9933
2017,ebs,10261,northern rock sole,s75,52.3740458,6861
2017,ebs,10112,Kamchatka flounder,s75,20,20
2018,ebs,10110,arrowtooth flounder,s75,46.80412371,4540
2018,ebs,10130,flathead sole,s75,57.67910448,7729
2018,ebs,10285,Alaska plaice,s75,33.06349206,2083
2018,ebs,10112,Kamchatka flounder,s75,20,20
2019,ebs,10110,arrowtooth flounder,s75,50.21917808,3666
2019,ebs,10112,Kamchatka flounder,s75,26.66666667,80
2019,ebs,10210,yellowfin sole,s100,44.224,5528
2019,ebs,10261,northern rock sole,s100,45.08988764,4013
