sim,year,species_code,ess,value
2,2017,21740,ess_m,188.30471132588733
2,2018,10110,ess_m,118.74894695231549
2,2018,10112,ess_m,612.92844928637
2,2018,10115,ess_m,17.72329366222997
2,2018,10130,ess_m,244.78892300620754
2,2018,10210,ess_m,432.6193702846478
2,2018,10261,ess_m,377.1071929427637
2,2018,10285,ess_m,66.82852125400984
2,2018,21720,ess_m,340.8966507773412
2,2018,21740,ess_m,185.07100139078443
2,2019,10110,ess_m,137.39055346466748
2,2019,10112,ess_m,322.8280187616675
2,2019,10115,ess_m,5.291047082674131
2,2019,10130,ess_m,176.77351104593134
2,2019,10210,ess_m,172.9013129444584
2,2019,10261,ess_m,97.91661469072984
2,2019,10285,ess_m,98.5501700894443
2,2019,21720,ess_m,15.844251501079922
2,2019,21740,ess_m,370.01775576907374
2,2021,10130,ess_m,294.9007548737005
