year,species_code,age,males,females,unsexed
2018,10110,4,59907750.23650794,104022815.56652015,4369.777777777778
2018,10110,5,48804799.44682115,131587891.48915364,15294.222222222223
2018,10110,6,43251547.27842076,102024801.75664648,25126.22222222222
2018,10110,7,9627471.449509803,46773190.54720778,14201.777777777777
2018,10110,8,4330716.9887403445,17934773.286359392,0
2018,10110,9,1685874,17920448.810389612,9832
2018,10110,10,1923728,13052487.098484848,19664
2018,10110,11,0,7106691.899999999,9832
2018,10110,12,871793,7278434.425,0
2018,10110,13,0,5114812.125,0
2018,10110,14,478593,915194.8666666667,0
2018,10110,17,0,1097565.5333333332,0
2018,10112,1,42711.600000000006,121443.5,0
2018,10112,2,5465789.711111111,4714669.511904762,0
2018,10112,3,6425352.973412698,4866962.43095238,0
2018,10112,4,13912222.45595238,12223785.855555555,0
2018,10112,5,7199067.6821428565,8012390.417460318,0
2018,10112,6,4333679.354761905,5930519.575793651,0
2018,10112,7,2484074.782142857,3898359.0583333336,0
2018,10112,8,1985644.0738095238,3193863.45,0
2018,10112,9,1174539.1333333333,1189723,0
2018,10112,10,418443,431689,0
2018,10112,11,222559.66666666663,120451.16666666666,0
2018,10112,12,391675.56666666665,510981.2,0
2018,10112,13,0,258862.5,0
2018,10112,14,0,449174.25,0
2018,10112,15,125983,166348.5,0
2018,10112,16,0,180933.5833333333,0
2018,10112,17,0,25845.5,0
2018,10112,18,0,13903.5,0
2018,10112,20,0,221091,0
2018,10112,21,49510.5,0,0
2018,10112,23,57025.5,0,0
2018,10112,26,0,51034.5,0
2018,10112,27,57025.5,0,0
2018,10112,28,49510.5,51034.5,0
2018,10112,30,0,122486,0
2018,10115,1,62413,0,0
2018,10115,2,30637,29092,0
2018,10115,3,31439,51365,0
2018,10115,4,15452.5,133145,0
2018,10115,5,187323.25,206753,0
2018,10115,6,302170,141455.375,0
2018,10115,7,258946.66666666666,138164.875,0
2018,10115,8,609728.3333333334,298184.81666666665,0
2018,10115,9,419986.25,973352.4535714285,0
2018,10115,10,197868.5,1317564.9226190476,0
2018,10115,11,67669.5,725631.3547619047,0
2018,10115,12,39181,227023.95238095237,0
2018,10115,13,39181,0,0
2018,10115,14,0,50563.25,0
2018,10115,15,0,31332,0
2018,10115,18,30073,27296,0
2018,10115,24,0,0,0
2018,10130,2,31116140.97777778,22672179.3015873,104656179.66706349
2018,10130,3,193481578.356672,231251599.64338505,88890923.15865465
2018,10130,4,134979056.66220096,126256168.49832945,2760022.8047566833
2018,10130,5,139282372.81664008,87054114.65770602,145589.41418656532
2018,10130,6,77355504.27576897,79770638.30679941,276998.65473156766
2018,10130,7,175291878.85550618,135678060.1780866,523437.32502518693
2018,10130,8,73748323.69331282,84830890.160418,427585.8365127107
2018,10130,9,32195226.716666665,48330550.12332112,271359.5854338464
2018,10130,10,24263203.526262626,42841634.12422969,278809.80088912224
2018,10130,11,36214687.191991344,48653869.96447246,346156.0173306856
2018,10130,12,36567869.98499279,32140753.34657042,326539.08454686473
2018,10130,13,23967980.27943723,17422241.54150327,230030.9824613621
2018,10130,14,10673265.003968254,21764865.656959705,143838.95167584275
2018,10130,15,13345843.25,19519440.82948718,204672.10175833374
2018,10130,16,17079078.652453102,10642337.707566615,149198.8249734089
2018,10130,17,14977355.46984127,14786774.017884076,135236.49518658037
2018,10130,18,8705888.2,3726352.4,39791.58823529412
2018,10130,19,7095831.301587301,3915027.992857143,44020.213793103445
2018,10130,20,5020292.361111111,3096869,35539.439189928846
2018,10130,21,3327604.5476190476,5385917.865686274,8588.3
2018,10130,22,1868480.8333333333,673235.25,6482.5
2018,10130,23,0,4636046.1510989005,6482.5
2018,10130,24,2066000.2000000002,0,21090.58823529412
2018,10130,26,0,701184.6153846154,0
2018,10130,27,1868480.8333333333,0,6482.5
2018,10130,28,1236468.6666666665,673235.25,13658.888888888889
2018,10130,29,2066000.2000000002,0,21090.58823529412
2018,10130,31,0,1491527.4166666665,21090.58823529412
2018,10130,32,2590382.1428571427,0,8297.6
2018,10210,3,39135791.24047619,49111765.52142857,0
2018,10210,4,172829308.52936506,180487021.45079365,0
2018,10210,5,186421169.1991342,259905846.4888889,0
2018,10210,6,226837156.5383432,176494649.16269842,0
2018,10210,7,71483050.99498378,91015065.10765639,0
2018,10210,8,234039380.35791743,263400277.1388471,0
2018,10210,9,518413263.04027694,637529957.0115976,0
2018,10210,10,258238913.93645048,324575230.2452062,0
2018,10210,11,186744156.5201483,230069895.70155534,0
2018,10210,12,94749154.63683441,80843616.35789473,0
2018,10210,13,76220948.78007197,75876486.50789474,0
2018,10210,14,72447436.8362164,41338851.64444444,0
2018,10210,15,74385519.66193539,123806610.21578947,0
2018,10210,16,68531455.10742265,98924833.83044375,0
2018,10210,17,29297458.841880344,102987372.05789474,0
2018,10210,18,54734347.91682435,92211500.73921569,0
2018,10210,19,10580010.61818182,74317430.32549019,0
2018,10210,20,62324540.276927404,80376976.74416925,0
2018,10210,21,11611229.533333333,77709640.27750258,0
2018,10210,22,29041074.589473683,44770234.81960784,0
2018,10210,23,33546208.0979021,74794916.06960784,0
2018,10210,24,13652576.516746411,50396523.06960784,0
2018,10210,25,15480706.607655501,53573552.95294118,0
2018,10210,26,21772368.347593583,24004700.152941175,0
2018,10210,27,16673300.378947368,19034368.65,0
2018,10210,28,21144552.578947365,9184674.283333333,0
2018,10210,29,14982594.230769232,40132599.152941175,0
2018,10210,30,11035375.42583732,6983082.352941176,0
2018,10210,31,8026350.818181818,2539708.5,0
2018,10210,32,35884255.433566436,9566107.666666666,0
2018,10210,33,1764588.8,0,0
2018,10210,34,1790509.8181818181,2018312.6500000001,0
2018,10210,35,0,1792407.5,0
2018,10210,36,7454355.789473684,0,0
2018,10210,38,0,2018312.6500000001,0
2018,10261,1,0,0,1527341
2018,10261,2,65523616.02380952,39392795.452380955,260135617.59754902
2018,10261,3,438292664.7619048,454479324.55595237,451428357.61977124
2018,10261,4,399280875.234127,295802139.9527778,19418959.083333332
2018,10261,5,47128711.402236655,43239961.972222224,210054.07568505662
2018,10261,6,199055349.84415585,148903807.9090909,1158688.8480157808
2018,10261,7,42255333.19967532,58357898.32474747,626970.1218430192
2018,10261,8,62273532.359848484,94315650.3959596,832126.3255184287
2018,10261,9,0,27649744.5,44119.605797101445
2018,10261,10,16365208.636363637,58548942.79343434,302592.9051657883
2018,10261,11,63646411.848484844,19700470.03787879,342042.8545705502
2018,10261,12,27827166.78030303,69733308.08333333,215847.7241344014
2018,10261,13,118047703.3474026,209740888.38333333,669116.4450602466
2018,10261,14,75958011.32467532,121216461.90833333,464324.5537312751
2018,10261,15,80600902.40692641,113534993.05555555,651230.5606866989
2018,10261,16,80313407.0909091,161063081.20833334,537054.029291744
2018,10261,17,56714859.203463204,93195948.73333333,466077.29041946615
2018,10261,18,8729157.035714285,36382921.95833333,71378.50493966817
2018,10261,19,1842956.6666666665,10950949.9,11284.200854700855
2018,10261,20,0,2467978.875,0
2018,10261,21,0,5588293.5,6538.083333333333
2018,10261,22,3363870.4166666665,13212777,28487.256944444445
2018,10261,23,268056,567244,0
2018,10261,24,3363870.4166666665,1134488,15411.090277777777
2018,10261,26,0,240868.5,0
2018,10261,27,1205838,5588293.5,12306.139743589743
2018,10261,28,0,6434898,6538.083333333333
2018,10261,30,0,734473,0
2018,10261,37,0,240868.5,0
2018,10285,2,344564,231915,0
2018,10285,3,1016426.5428571429,0,0
2018,10285,4,13806076.764285713,9638241.773809524,0
2018,10285,5,10613826.778571429,5312714.852380952,0
2018,10285,6,26039571.492857143,10862212.677777778,0
2018,10285,7,12896854.206818182,6269550.582539682,0
2018,10285,8,14334665.027272727,18285388.476190474,0
2018,10285,9,53725479.27824675,41882109.11158009,0
2018,10285,10,15630107.100000001,5708878.595959595,0
2018,10285,11,2136686.885714286,27783506.403968252,0
2018,10285,12,6283656.6,11315957.303210678,0
2018,10285,13,7341533.845454546,16859094.980555553,0
2018,10285,14,21553511.645454545,9626213.03932179,0
2018,10285,15,13491301.329545455,4003549.9431818184,0
2018,10285,16,22122373.421320345,20302817.409848485,0
2018,10285,17,15516127.846969698,12300709.162049063,0
2018,10285,18,4476571.103896104,11982285.068542568,0
2018,10285,19,9827220.01525974,9750364.183189033,0
2018,10285,20,2007829.619047619,2883155.993939394,0
2018,10285,21,15018284.99318182,3662440.0424242425,0
2018,10285,22,4116484.887987013,6302848.736471862,0
2018,10285,23,787380.2857142857,1948501.7954545454,0
2018,10285,24,2127033.4545454546,2550349.8545454545,0
2018,10285,25,2976497.1818181816,3414892.7348484844,0
2018,10285,26,0,6055320.037590187,0
2018,10285,27,9885293.693181818,6966388.246969697,0
2018,10285,28,539492,4608725.022077922,0
2018,10285,29,0,2449030.466666667,0
2018,10285,30,0,2941928.5328282826,0
2018,10285,31,3237340,2081203.590909091,0
2018,10285,32,0,2340648.709090909,0
2018,10285,33,539492,737371.0357142857,0
2018,10285,36,539492,0,0
2018,10285,37,0,280915.7272727273,0
2018,10285,38,0,1280326.9090909092,0
2018,21720,1,10180006.25,9406724,930132.3333333334
2018,21720,2,15293374.642016806,13980495.357808858,66221.5
2018,21720,3,35723203.33793285,32219156.496299777,147146.83102453104
2018,21720,4,20391595.108274292,17759273.08177617,447696.28388280526
2018,21720,5,28343221.407335367,29195774.79130013,427343.80384197476
2018,21720,6,8239599.402258657,12531658.672748808,103366.2731274397
2018,21720,7,3557616.1855153656,5237363.1077749245,37262.21008403361
2018,21720,8,265109.1111111111,389339.3080808081,3741.176470588235
2018,21720,9,156464.55555555556,169475.68421052632,1870.5882352941176
2018,21720,10,0,53620.5,0
2018,21740,1,152180435.875,130014352.5,619041585.2471154
2018,21740,2,214000391.23690477,157347726.41269842,9723229.229075091
2018,21740,3,88354441.81428571,100713174.90298785,215914.19047619047
2018,21740,4,157307814.0558146,98316945.8005728,343244.3333333333
2018,21740,5,911447619.2192729,904530764.6249657,21944.273504273504
2018,21740,6,554621097.5484259,552048789.2537419,76804.95726495727
2018,21740,7,188167058.7259718,202885621.7912189,65832.8205128205
2018,21740,8,171588850.7420295,116074580.49637428,21944.273504273504
2018,21740,9,166100642.19499865,136538971.07632327,37305.26495726496
2018,21740,10,149338351.89807966,100483418.50428717,30721.982905982906
2018,21740,11,20000176.142334867,50598506.05618455,2194.4273504273506
2018,21740,12,10884108.880215053,0,0
2018,21740,13,45706,1199899.5806451612,0
2018,21740,15,2376461.6666666665,0,0
2018,21740,16,488687,0,0
2018,21740,18,712927,0,0
2018,21740,19,45706,0,0
2018,21740,22,298656,0,0
2019,10110,2,8864007.333333334,31817746.25,0
2019,10110,3,157719593.21388888,190454212.4910445,0
2019,10110,4,51283652.525885224,105340715.84133987,0
2019,10110,5,40142359.25491812,94694413.7965759,0
2019,10110,6,35809975.933042444,79481766.77076696,0
2019,10110,7,12754947.889538892,60743975.03624452,0
2019,10110,8,7605455.727077497,30672702.78009292,0
2019,10110,9,2666842.5032679737,13969003.886507936,0
2019,10110,10,1134110.6666666665,11633475.282563025,0
2019,10110,11,0,10995870.852521008,0
2019,10110,12,1128529.9523809524,10081429.022619048,0
2019,10110,13,0,2112291.1666666665,0
2019,10110,15,0,4917304.656390977,0
2019,10110,16,0,436963.5,0
2019,10110,17,0,3243293.6666666665,0
2019,10112,1,0,0,0
2019,10112,2,2134453.033333333,952414.25,0
2019,10112,3,7727714.597619047,5353883.376984127,0
