sim,year,species_code,ess,value
1,2019,10285,ess_t,747.4663753411945
1,2019,21720,ess_t,334.2443505166884
1,2019,21740,ess_t,1059.1301185904147
1,2021,10130,ess_t,1690.920822854179
1,2021,10210,ess_t,419.96553377196494
1,2021,10261,ess_t,315.8726571033728
1,2021,21740,ess_t,482.48439029988697
2,2017,10110,ess_f,483.5354379367801
2,2017,10112,ess_f,400.1615768925116
2,2017,10115,ess_f,90.38472385922756
2,2017,10130,ess_f,459.3533842650796
2,2017,10210,ess_f,866.0343744701519
2,2017,10261,ess_f,223.53995021438018
2,2017,10285,ess_f,224.8763623728727
2,2017,21720,ess_f,269.8816405768182
2,2017,21740,ess_f,113.81239443258603
2,2018,10110,ess_f,129.80676533851837
2,2018,10112,ess_f,394.3082162909188
2,2018,10115,ess_f,56.11599465496538
2,2018,10130,ess_f,636.1019598745106
2,2018,10210,ess_f,437.93923835685337
2,2018,10261,ess_f,134.1303485002752
2,2018,10285,ess_f,337.37306178241715
2,2018,21720,ess_f,489.1610729793106
2,2018,21740,ess_f,407.327343797107
2,2019,10110,ess_f,180.00528801995569
2,2019,10112,ess_f,365.016400611238
2,2019,10115,ess_f,37.75121375618282
2,2019,10130,ess_f,363.0885216892916
2,2019,10210,ess_f,433.4373901646356
2,2019,10261,ess_f,179.90761427628036
2,2019,10285,ess_f,121.23240993614955
2,2019,21720,ess_f,18.298160096482757
2,2019,21740,ess_f,187.69606769426008
2,2021,10130,ess_f,191.58292493721012
2,2021,10210,ess_f,261.07967088096717
2,2021,10261,ess_f,693.3663242139528
2,2021,21740,ess_f,268.17173996410423
2,2017,10110,ess_m,84.90016295249019
2,2017,10112,ess_m,51.646862776263525
2,2017,10115,ess_m,38.466619400592926
2,2017,10130,ess_m,312.835252460884
2,2017,10210,ess_m,1004.5584232477365
2,2017,10261,ess_m,126.60157226069107
2,2017,10285,ess_m,211.9213825362077
2,2017,21720,ess_m,185.12683617605194
2,2017,21740,ess_m,94.56238620436248
2,2018,10110,ess_m,208.95133888305907
2,2018,10112,ess_m,150.70452715262357
2,2018,10115,ess_m,27.593197434792838
2,2018,10130,ess_m,232.86089446195422
2,2018,10210,ess_m,436.64779429261586
2,2018,10261,ess_m,426.4470862887272
2,2018,10285,ess_m,120.94557379228165
2,2018,21720,ess_m,228.6845242996514
2,2018,21740,ess_m,365.5646266187937
2,2019,10110,ess_m,181.06353606920587
2,2019,10112,ess_m,201.44384442353532
2,2019,10115,ess_m,25.16318073939588
2,2019,10130,ess_m,513.8256235744943
2,2019,10210,ess_m,258.81469870333115
2,2019,10261,ess_m,233.9283916828989
2,2019,10285,ess_m,63.21141382239896
2,2019,21720,ess_m,14.650847993868727
2,2019,21740,ess_m,237.45101919639066
2,2021,10130,ess_m,410.75744660453114
2,2021,10210,ess_m,633.3148470532177
2,2021,10261,ess_m,163.0027344867025
2,2021,21740,ess_m,341.64746275406367
2,2017,10110,ess_t,285.4532047030213
2,2017,10112,ess_t,445.78407416612663
2,2017,10115,ess_t,125.04941657565304
2,2017,10130,ess_t,954.9390649030762
2,2017,10210,ess_t,1396.2291139160025
2,2017,10261,ess_t,136.16084360499949
2,2017,10285,ess_t,427.0374397399169
2,2017,21720,ess_t,1405.170193239905
2,2017,21740,ess_t,1903.778733325682
2,2018,10110,ess_t,435.67078098267314
2,2018,10112,ess_t,381.3386004636827
2,2018,10115,ess_t,115.8056780887456
2,2018,10130,ess_t,417.76783749792156
2,2018,10210,ess_t,744.7099015414224
2,2018,10261,ess_t,1573.173560704609
2,2018,10285,ess_t,318.66463166096406
2,2018,21720,ess_t,624.3439485681314
2,2018,21740,ess_t,1692.3684149360865
2,2019,10110,ess_t,215.57949085218578
2,2019,10112,ess_t,420.03865761581915
2,2019,10115,ess_t,34.829388035652364
2,2019,10130,ess_t,869.2638369912765
2,2019,10210,ess_t,678.8576967973248
2,2019,10261,ess_t,476.1135871109698
2,2019,10285,ess_t,154.2704222424764
2,2019,21720,ess_t,1163.7982026837142
